symbol,timestamp,datetime,side,price,amount,btc_volume
DLT/BTC,1534003231825,2018-08-11T16:00:31.825Z,buy,6.98e-06,250.0,0.001745
DLT/BTC,1534003302077,2018-08-11T16:01:42.077Z,sell,6.96e-06,15.0,0.0001044
DLT/BTC,1534003362066,2018-08-11T16:02:42.066Z,sell,6.96e-06,1483.0,0.01032168
DLT/BTC,1534003416367,2018-08-11T16:03:36.367Z,sell,6.89e-06,95.0,0.00065455
DLT/BTC,1534003642975,2018-08-11T16:07:22.975Z,sell,6.9e-06,15.0,0.0001035
DLT/BTC,1534003646193,2018-08-11T16:07:26.193Z,sell,6.89e-06,12.0,8.268e-05
DLT/BTC,1534003827484,2018-08-11T16:10:27.484Z,sell,6.89e-06,817.0,0.00562913
DLT/BTC,1534003827484,2018-08-11T16:10:27.484Z,sell,6.88e-06,979.0,0.00673552
DLT/BTC,1534004124212,2018-08-11T16:15:24.212Z,sell,6.83e-06,485.0,0.00331255
DLT/BTC,1534004126221,2018-08-11T16:15:26.221Z,buy,6.9e-06,22.0,0.0001518
DLT/BTC,1534004127139,2018-08-11T16:15:27.139Z,sell,6.82e-06,25.0,0.0001705
DLT/BTC,1534004351765,2018-08-11T16:19:11.765Z,sell,6.82e-06,2891.0,0.01971662
DLT/BTC,1534004352341,2018-08-11T16:19:12.341Z,buy,6.82e-06,1471.0,0.01003222
DLT/BTC,1534004356663,2018-08-11T16:19:16.663Z,sell,6.81e-06,294.0,0.00200214
DLT/BTC,1534004387268,2018-08-11T16:19:47.268Z,buy,6.82e-06,86.0,0.00058652
DLT/BTC,1534004389223,2018-08-11T16:19:49.223Z,buy,6.82e-06,80.0,0.0005456
DLT/BTC,1534004404305,2018-08-11T16:20:04.305Z,sell,6.81e-06,2937.0,0.02000097
DLT/BTC,1534004440190,2018-08-11T16:20:40.190Z,buy,6.82e-06,29321.0,0.19996922
DLT/BTC,1534004476602,2018-08-11T16:21:16.602Z,buy,6.91e-06,6.0,4.146e-05
DLT/BTC,1534004492414,2018-08-11T16:21:32.414Z,buy,6.91e-06,778.0,0.00537598
DLT/BTC,1534004588721,2018-08-11T16:23:08.721Z,buy,6.89e-06,1836.0,0.01265004
DLT/BTC,1534004691454,2018-08-11T16:24:51.454Z,buy,6.89e-06,263.0,0.00181207
DLT/BTC,1534004691454,2018-08-11T16:24:51.454Z,buy,6.91e-06,16.0,0.00011056
DLT/BTC,1534004946574,2018-08-11T16:29:06.574Z,sell,6.86e-06,1238.0,0.00849268
DLT/BTC,1534005048379,2018-08-11T16:30:48.379Z,sell,6.86e-06,3.0,2.0580000000000003e-05
DLT/BTC,1534005260804,2018-08-11T16:34:20.804Z,sell,6.86e-06,867.0,0.005947620000000001
DLT/BTC,1534005260804,2018-08-11T16:34:20.804Z,sell,6.82e-06,31.0,0.00021142
DLT/BTC,1534005260813,2018-08-11T16:34:20.813Z,sell,6.82e-06,736.0,0.0050195199999999995
DLT/BTC,1534005292820,2018-08-11T16:34:52.820Z,buy,6.84e-06,423.0,0.00289332
DLT/BTC,1534005295100,2018-08-11T16:34:55.100Z,buy,6.84e-06,151.0,0.00103284
DLT/BTC,1534005297962,2018-08-11T16:34:57.962Z,buy,6.84e-06,327.0,0.00223668
DLT/BTC,1534005299732,2018-08-11T16:34:59.732Z,buy,6.83e-06,442.0,0.00301886
DLT/BTC,1534005302269,2018-08-11T16:35:02.269Z,buy,6.84e-06,255.0,0.0017442
DLT/BTC,1534005302671,2018-08-11T16:35:02.671Z,sell,6.81e-06,338.0,0.00230178
DLT/BTC,1534005303685,2018-08-11T16:35:03.685Z,buy,6.84e-06,345.0,0.0023598
DLT/BTC,1534005305365,2018-08-11T16:35:05.365Z,buy,6.84e-06,468.0,0.00320112
DLT/BTC,1534005306367,2018-08-11T16:35:06.367Z,buy,6.84e-06,299.0,0.00204516
