symbol,timestamp,datetime,side,price,amount,btc_volume
ICN/BTC,1535643000538,2018-08-30T15:30:00.538Z,sell,6.877e-05,200.0,0.013753999999999999
ICN/BTC,1535643014574,2018-08-30T15:30:14.574Z,sell,6.881e-05,40.0,0.0027524
ICN/BTC,1535643021706,2018-08-30T15:30:21.706Z,sell,6.881e-05,52.0,0.00357812
ICN/BTC,1535643021706,2018-08-30T15:30:21.706Z,sell,6.88e-05,40.0,0.002752
ICN/BTC,1535643038053,2018-08-30T15:30:38.053Z,buy,6.88e-05,711.0,0.0489168
ICN/BTC,1535643044082,2018-08-30T15:30:44.082Z,sell,6.881e-05,42.0,0.00289002
ICN/BTC,1535643044082,2018-08-30T15:30:44.082Z,sell,6.88e-05,574.0,0.039491200000000004
ICN/BTC,1535643067591,2018-08-30T15:31:07.591Z,sell,6.882e-05,44.0,0.00302808
ICN/BTC,1535643071478,2018-08-30T15:31:11.478Z,sell,6.882e-05,8.0,0.00055056
ICN/BTC,1535643088909,2018-08-30T15:31:28.909Z,sell,6.882e-05,97.0,0.00667554
ICN/BTC,1535643088909,2018-08-30T15:31:28.909Z,sell,6.881e-05,42.0,0.00289002
ICN/BTC,1535643088909,2018-08-30T15:31:28.909Z,sell,6.88e-05,8.0,0.0005504
ICN/BTC,1535643102213,2018-08-30T15:31:42.213Z,sell,6.882e-05,19.0,0.0013075799999999998
ICN/BTC,1535643217848,2018-08-30T15:33:37.848Z,buy,6.883e-05,725.0,0.04990175
ICN/BTC,1535643223758,2018-08-30T15:33:43.758Z,sell,6.882e-05,30.0,0.0020645999999999998
ICN/BTC,1535643275212,2018-08-30T15:34:35.212Z,buy,6.883e-05,725.0,0.04990175
ICN/BTC,1535643625048,2018-08-30T15:40:25.048Z,buy,6.883e-05,221.0,0.015211430000000001
ICN/BTC,1535643676273,2018-08-30T15:41:16.273Z,sell,6.88e-05,378.0,0.026006400000000002
ICN/BTC,1535643860203,2018-08-30T15:44:20.203Z,sell,6.88e-05,1.0,6.88e-05
ICN/BTC,1535643948440,2018-08-30T15:45:48.440Z,sell,6.88e-05,695.0,0.047816000000000004
ICN/BTC,1535643977568,2018-08-30T15:46:17.568Z,sell,6.88e-05,869.0,0.059787200000000006
ICN/BTC,1535643989737,2018-08-30T15:46:29.737Z,sell,6.88e-05,869.0,0.059787200000000006
ICN/BTC,1535644053535,2018-08-30T15:47:33.535Z,sell,6.88e-05,8.0,0.0005504
ICN/BTC,1535644299425,2018-08-30T15:51:39.425Z,buy,6.883e-05,2967.0,0.20421861000000002
