symbol,timestamp,datetime,side,price,amount,btc_volume
OAX/BTC,1533485003005,2018-08-05T16:03:23.005Z,sell,3.364e-05,109.0,0.0036667600000000002
OAX/BTC,1533485003200,2018-08-05T16:03:23.200Z,buy,3.361e-05,1029.0,0.03458469
OAX/BTC,1533485566324,2018-08-05T16:12:46.324Z,buy,3.362e-05,99.0,0.00332838
OAX/BTC,1533485691340,2018-08-05T16:14:51.340Z,buy,3.362e-05,99.0,0.00332838
OAX/BTC,1533486671999,2018-08-05T16:31:11.999Z,sell,3.362e-05,789.0,0.02652618
OAX/BTC,1533486708688,2018-08-05T16:31:48.688Z,buy,3.366e-05,42.0,0.00141372
OAX/BTC,1533486831606,2018-08-05T16:33:51.606Z,buy,3.366e-05,329.0,0.01107414
OAX/BTC,1533486831606,2018-08-05T16:33:51.606Z,buy,3.369e-05,405.0,0.013644449999999999
OAX/BTC,1533486848093,2018-08-05T16:34:08.093Z,buy,3.379e-05,750.0,0.0253425
OAX/BTC,1533487509867,2018-08-05T16:45:09.867Z,sell,3.357e-05,29.0,0.00097353
OAX/BTC,1533487613523,2018-08-05T16:46:53.523Z,buy,3.362e-05,255.0,0.0085731
OAX/BTC,1533487613523,2018-08-05T16:46:53.523Z,buy,3.362e-05,255.0,0.0085731
OAX/BTC,1533488462997,2018-08-05T17:01:02.997Z,sell,3.352e-05,111.0,0.00372072
OAX/BTC,1533488768087,2018-08-05T17:06:08.087Z,buy,3.364e-05,85.0,0.0028594000000000002
OAX/BTC,1533490035901,2018-08-05T17:27:15.901Z,sell,3.356e-05,70.0,0.0023491999999999996
OAX/BTC,1533490035901,2018-08-05T17:27:15.901Z,sell,3.355e-05,177.0,0.00593835
OAX/BTC,1533490358414,2018-08-05T17:32:38.414Z,sell,3.355e-05,469.0,0.01573495
OAX/BTC,1533490358414,2018-08-05T17:32:38.414Z,sell,3.352e-05,644.0,0.02158688
OAX/BTC,1533490675545,2018-08-05T17:37:55.545Z,sell,3.352e-05,3051.0,0.10226951999999999
OAX/BTC,1533490677809,2018-08-05T17:37:57.809Z,buy,3.369e-05,229.0,0.00771501
