date,pump_index,std_rush_order,avg_rush_order,std_trades,std_volume,avg_volume,std_price,avg_price,avg_price_max,hour_sin,hour_cos,minute_sin,minute_cos,symbol,gt
2021-01-11 14:15:50,0,-0.248,0.099,-0.146,-0.029,0.048,0.719,0.002,0.003,-0.631,-0.776,1.000,-0.027,BTC,0
2021-01-11 14:16:15,0,-0.117,0.041,-0.014,-0.016,0.031,0.344,0.003,0.003,-0.631,-0.776,0.991,-0.133,BTC,0
2021-01-11 14:16:40,0,0.151,-0.020,0.051,0.029,-0.021,0.042,0.002,0.002,-0.631,-0.776,0.991,-0.133,BTC,0
2021-05-19 11:34:10,3,-0.128,0.028,-0.073,-0.060,0.034,-0.104,-0.001,-0.000,0.136,-0.991,-0.461,-0.887,BTC,0
2021-05-19 11:34:35,3,-0.082,-0.028,-0.088,0.004,0.007,0.076,0.001,0.001,0.136,-0.991,-0.461,-0.887,BTC,0
2021-05-19 11:35:00,3,-0.092,0.025,-0.126,-0.062,0.014,0.134,0.001,0.001,0.136,-0.991,-0.553,-0.833,BTC,0
2021-05-19 12:54:10,4,0.021,-0.004,0.014,-0.057,0.016,0.270,-0.006,-0.006,-0.136,-0.991,-0.508,0.862,BTC,0
2021-05-19 12:54:35,4,-0.088,-0.050,-0.069,-0.161,-0.054,0.172,-0.006,-0.004,-0.136,-0.991,-0.508,0.862,BTC,0
2021-05-19 12:55:00,4,0.140,0.014,-0.174,-0.097,-0.008,0.042,-0.008,-0.008,-0.136,-0.991,-0.413,0.911,BTC,0
2021-05-19 12:57:55,5,-0.215,0.059,-0.255,-0.133,0.065,0.196,0.004,0.005,-0.136,-0.991,-0.211,0.977,BTC,0
2021-05-19 12:58:20,5,-0.081,0.018,-0.045,0.010,-0.003,0.041,0.004,0.005,-0.136,-0.991,-0.106,0.994,BTC,0
2021-05-19 12:58:45,5,0.534,-0.056,0.549,0.111,-0.033,0.087,0.007,0.007,-0.136,-0.991,-0.106,0.994,BTC,0
2021-05-19 13:09:10,6,0.005,0.011,-0.000,0.112,0.046,0.211,-0.007,-0.007,-0.398,-0.917,0.818,0.575,BTC,0
2021-05-19 13:09:35,6,-0.051,0.044,-0.080,-0.061,0.018,0.183,-0.007,-0.007,-0.398,-0.917,0.818,0.575,BTC,0
2021-05-19 13:22:05,9,-0.036,0.042,-0.007,-0.077,0.029,0.049,-0.001,-0.000,-0.398,-0.917,0.716,-0.698,BTC,0
2021-05-19 13:22:30,9,-0.009,0.004,0.005,0.070,-0.031,0.020,-0.001,-0.001,-0.398,-0.917,0.716,-0.698,BTC,0
2021-05-19 13:22:55,9,0.038,-0.006,-0.111,-0.641,-0.109,0.031,-0.002,-0.004,-0.398,-0.917,0.716,-0.698,BTC,0
2021-05-21 21:22:55,11,-0.058,0.052,-0.098,-0.001,0.078,0.123,0.006,0.006,-0.520,0.854,0.716,-0.698,BTC,0
2021-05-21 21:23:20,11,0.041,-0.009,0.062,-0.026,0.011,-0.013,0.005,0.004,-0.520,0.854,0.638,-0.770,BTC,0
2021-05-21 21:23:45,11,-0.013,0.002,0.016,0.056,-0.014,-0.109,0.005,0.005,-0.520,0.854,0.638,-0.770,BTC,0
2021-12-04 05:27:05,16,0.012,0.009,0.214,0.086,-0.023,0.175,-0.007,-0.006,0.979,0.203,0.263,-0.965,BTC,0
2021-12-04 05:27:30,16,0.041,0.015,0.122,0.003,0.011,0.228,-0.010,-0.008,0.979,0.203,0.263,-0.965,BTC,0
2021-12-04 05:27:55,16,1.027,0.057,0.374,0.840,0.104,0.007,-0.009,-0.005,0.979,0.203,0.263,-0.965,BTC,0
